Object,,Budget,Actual costs,Commitment,Assigned,Budget Avail
RS.0215,,227141678.9,0,227141414.9,227141414.9,263.94
RS.0215,,227141678.9,0,227141414.9,227141414.9,263.94
RS.0215.01,,1,0,0,0,1
RS.0215.01.01,,1,0,0,0,1
RS.0215.100,,227141677.9,0,227141414.9,227141414.9,262.94
RS.0215.100.03,,225236710.8,0,225236656.6,225236656.6,54.22
RS.0215.100.03.01,,7372308.96,0,7372254.74,7372254.74,54.22
RS.0215.100.03.02,,78354.36,0,78354.36,78354.36,0
RS.0215.100.03.05,,83784482.82,0,83784482.82,83784482.82,0
RS.0215.100.03.06,,65797176.42,0,65797176.42,65797176.42,0
RS.0215.100.03.08,,57249659.98,0,57249659.98,57249659.98,0
RS.0215.100.03.11,,1723890.32,0,1723890.32,1723890.32,0
RS.0215.100.03.12,,2108183.28,0,2108183.28,2108183.28,0
RS.0215.100.03.13,,674285.04,0,674285.04,674285.04,0
RS.0215.100.03.14,,4455454.62,0,4455454.62,4455454.62,0
RS.0215.100.03.15,,1992914.98,0,1992914.98,1992914.98,0
RS.0215.100.04,,1250791.6,0,1250582.88,1250582.88,208.72
RS.0215.100.04.01,,1041262.54,0,1041053.82,1041053.82,208.72
RS.0215.100.04.12,,209529.06,0,209529.06,209529.06,0
RS.0215.100.05,,654175.48,0,654175.48,654175.48,0
RS.0215.100.05.01,,654175.48,0,654175.48,654175.48,0
Result,,227141678.9,0,227141414.9,227141414.9,263.94
