,Description,,Budget,Actual costs,Commitment,Assigned,Budget Avail
IF.0090,,INFRA SHODEN MAITRI,7192050328,2643621377,96819223.5,2740440601,4451609727
IF.0090.01,,LAND (MAITRI PARK),873384260,873382645,0,873382645,1615
IF.0090.01.01,,LAND COST,251552410,251552009,0,251552009,401
IF.0090.01.04,,MUNICIPAL CHARGES,621831850,621830636,0,621830636,1214
IF.0090.02,,ENGINEERING,588338154.2,359670390.5,77773912.48,437444303,150893851.2
IF.0090.02.01,,CIVIL WORKS,230980226.2,164413255.5,51604117.17,216017372.6,14962853.54
IF.0090.02.01.01,Common Infra Works,CIVIL SERVICES WORKS,11884604,8662.5,11875604.95,11884267.45,336.55
IF.0090.02.01.02,,COMPOUND WALL,56009571.22,42342265.07,9145055.82,51487320.89,4522250.33
IF.0090.02.01.02.01,Common Infra Works,FENCING WORK,56009571.22,42342265.07,9145055.82,51487320.89,4522250.33
IF.0090.02.01.03,,SHOW FLAT & SALES GA,149957108.1,109997227.5,30547794.81,140545022.3,9412085.71
IF.0090.02.01.03.01,,SFSG CONSULTANT,14919100,14168644,73750,14242394,676706
IF.0090.02.01.03.02,,SFSG CIVIL & FINISHI,135038008.1,95828583.53,30474044.81,126302628.3,8735379.71
IF.0090.02.01.04,Common Infra Works,SITE MOBILIZATION,3860589.9,3141077.18,35661.3,3176738.48,683851.42
IF.0090.02.01.05,Common Infra Works,SOIL INVESTIGATION W,421893,416720.85,0.29,416721.14,5171.86
IF.0090.02.01.06,Shore Piling & Excavation,EXCAVATION / BACKFIL,8846460,8507302.33,0,8507302.33,339157.67
IF.0090.02.02,,FINISHING,8965082.61,5774635.77,1435183.45,7209819.22,1755263.39
IF.0090.02.02.05,,FABRICATION WORK,405153,0,0,0,405153
IF.0090.02.02.06,,MISCELLANEOUS WORK,8336909.61,5594795.27,1435183.45,7029978.72,1306930.89
IF.0090.02.02.07,,ALUMINIUM WORK - WIN,223020,179840.5,0,179840.5,43179.5
IF.0090.02.03,,MEP SERVICES,27986502.49,20594174.85,5169252.58,25763427.43,2223075.06
IF.0090.02.03.01,,ELECTRICAL WORK,18808631.97,14570072.46,3147007,17717079.46,1091552.51
IF.0090.02.03.02,,PLUMBING & SANITATIO,7546082.12,5057568.04,1915802.86,6973370.9,572711.22
IF.0090.02.03.08,,SEWAGE TREATMENT PLA,28556,24200,0,24200,4356
IF.0090.02.03.09,,HVAC WORKS,1152073.4,811059.35,86560.9,897620.25,254453.15
IF.0090.02.03.10,,MECHANICAL WORKS,451159,131275,19881.82,151156.82,300002.18
IF.0090.02.04,,PROJECT CONSULTANT (,159506794.9,22206953.31,18985982.98,41192936.29,118313858.6
IF.0090.02.04.01,Professional Fees,RCC CONSULTANT,29172384.6,1178808.34,4715233.44,5894041.78,23278342.82
IF.0090.02.04.02,Professional Fees,SERVICE CONSULTANT,28091570.45,1209757.97,2869249.54,4079007.51,24012562.94
IF.0090.02.04.03,Professional Fees,OTHER CONSULTANT,1934315,1595315,339000,1934315,0
IF.0090.02.04.05,Professional Fees,ARCHITECTURAL CONSUL,100308524.8,18223072,11062500,29285572,71022952.8
IF.0090.02.05,,SERVICES WORKS,23964757,10833728.53,72396.5,10906125.03,13058631.97
IF.0090.02.05.02,Common Infra Works,TEMPORARY CONSTRUCTI,10605685,8702021.53,8096.5,8710118.03,1895566.97
IF.0090.02.05.03,,WATER & ELECTRICITY,13359072,2131707,64300,2196007,11163065
IF.0090.02.05.03.01,Common Infra Works,WATER CHARGES,638300,502730,64300,567030,71270
IF.0090.02.05.03.02,Common Infra Works,ELECTRICITY POWER CH,12720772,1628977,0,1628977,11091795
IF.0090.02.06,Common Infra Works,DEPARTMENTAL WORK,1797007.08,1427064.94,246362.76,1673427.7,123579.38
IF.0090.02.07,Common Infra Works,MISC STRUCTURES,134855016,134194264.3,216115.01,134410379.3,444636.71
IF.0090.02.08,Safety,SAFETY / EHS POLICY,282768,226313.4,44502.03,270815.43,11952.57
IF.0090.05,,ADMINISTRATION,17542345.96,7774720.87,9678908.51,17453629.38,88716.58
IF.0090.05.01,,SECURITY,17428127.96,7660502.87,9678908.51,17339411.38,88716.58
IF.0090.05.02,,ELECTRICITY,114218,114218,0,114218,0
IF.0090.14,,HORTICULTURE,23654664.15,15114281.91,3815180.8,18929462.71,4725201.44
IF.0090.14.01,,MATERIAL PURCHASE FO,443371,393539.3,0,393539.3,49831.7
IF.0090.14.02,,GARDEN DEVELOPMENT,22561349.15,14720742.61,3815180.8,18535923.41,4025425.74
IF.0090.14.03,,GARDEN MAINTENANCEá,649944,0,0,0,649944
IF.0090.15,,LIASIONING,5133716703,874952081.6,0,874952081.6,4258764622
IF.0090.15.01,,CONSULTANTS FEES,215047607.7,74607270,0,74607270,140440337.7
IF.0090.15.01.02,,LIAISON ARCHITECT,166610235.9,57919000,0,57919000,108691235.9
IF.0090.15.01.03,,ENVIRONMENT CONSULTA,10508540.72,3539600,0,3539600,6968940.72
IF.0090.15.01.04,,OTHER CONSULTANTS,37928831.15,13148670,0,13148670,24780161.15
IF.0090.15.02,,MUNICIPAL CHARGES,2942021914,642417822,0,642417822,2299604092
IF.0090.15.02.02,,LAYOUT-SCRUTINY FEES,2352775.78,205362,0,205362,2147413.78
IF.0090.15.02.03,,IOD-SCRUTINY FEES &,64008568.57,62620380,0,62620380,1388188.57
IF.0090.15.02.04,,FUNGIBLE COMPENSATOR,1095030486,316482000,0,316482000,778548486.3
IF.0090.15.02.05,,PREMIUM FSI,733580528,107602680,0,107602680,625977848
IF.0090.15.02.06,,DEVELOPMENT/MRTP CHA,347660659.6,35988200,0,35988200,311672459.6
IF.0090.15.02.07,,DEVELOPMENT CESS,148147947.6,36107000,0,36107000,112040947.6
IF.0090.15.02.08,,STAIRCASE / LIFT / L,306811781.9,69800100,0,69800100,237011681.9
IF.0090.15.02.09,,OPEN SPACE DEFICIENC,169654066.9,8823400,0,8823400,160830666.9
IF.0090.15.02.10,,LABOUR WELFARE CESS,59844785.53,4788700,0,4788700,55056085.53
IF.0090.15.02.11,,INFRASTRUCTURE CHARG,14930313.65,0,0,0,14930313.65
IF.0090.15.03,,PROPERTY TAX,289727701.2,19216881,0,19216881,270510820.2
IF.0090.15.03.01,,PROPERTY TAX (LUC),289727701.2,19216881,0,19216881,270510820.2
IF.0090.15.04,,COLLECTOR DEPARTMENT,3892032,0,0,0,3892032
IF.0090.15.05,,GEN. PERMISSION,23600000,20098000,0,20098000,3502000
IF.0090.15.07,,OTHER CHARGES,5210000,5210000,0,5210000,0
IF.0090.15.11,,REMARK / NOC CHARGES,169440454,83320908.58,0,83320908.58,86119545.41
IF.0090.15.11.01,,CFO-FEES / CHARGES,23836376.96,961950,0,961950,22874426.96
IF.0090.15.11.02,,PCO / INSECTISIDE CH,6326108.76,6210733,0,6210733,115375.76
