Category,Total Budget (Rs. Cr),Total Commitment(Rs. Cr),Total Assigned(Rs. Cr),Total Budget Avail(Rs. Cr),WBS Descriptions
"Civil & Structural Works",447.08,365.28,365.56,81.52,"DOWEL ANCHORS, CONCRETE WORK, REINFORCEMENT WORK, CONVENTIONAL SHUTTER, MASONARY WORKS, PLASTER WORKS - INTE, PLASTER WORKS - EXTE, GVP WORK, MISC WORK, WATERPROOFING WORK"
"Shore Piling & Excavation",61.25,26.04,47.39,13.86,"EXCAVATION / BACKFIL, EXCAVATION WORKS, ROYALTY CHARGES, PEST CONTROL, SHORE PILING WORKS, EARTHWORKS"
"Finishing Works",5.85,0.31,0.31,5.53,"FLOORING WORK / TREM, ELEVATION FEATURE WO"
"Aluminium Works",0.00,0.00,0.00,0.00,""
"MEP including Elevators",0.89,0.89,0.89,0.00,"ELECTRICAL WORK"
"Parking System",0.00,0.00,0.00,0.00,""
"Addon Cost",0.00,0.00,0.00,0.00,""
"Professional Fees",15.95,1.90,4.12,11.83,"RCC CONSULTANT, SERVICE CONSULTANT, OTHER CONSULTANT, ARCHITECTURAL CONSUL"
"Common Infra Works",23.29,2.16,21.40,1.89,"CIVIL SERVICES WORKS, FENCING WORK, SITE MOBILIZATION, SOIL INVESTIGATION W, TEMPORARY CONSTRUCTI, WATER CHARGES, ELECTRICITY POWER CH, DEPARTMENTAL WORK, MISC STRUCTURES, ELECTRICAL WORK, PLUMBING & SANITATIO, RAIN WATER HARVESTIN, SOLAR HOT WATER SYST, FIRE FIGHTING WORKS, FAPA / CCTV, DG SET WORKS, MECHANICAL, STP, GENERAL CONSULTING S"
"IGBC related cost",0.00,0.00,0.00,0.00,""
"Safety @ 0.5 %",0.00,0.00,0.00,0.00,""
"Sub total",554.31,396.59,439.67,114.64,""
" ", , , , ,""
"Contingency @ 2.5%",13.86,9.91,10.99,2.87,""
" ", , , , ,""
"Escalation @ 10%",55.43,39.66,43.97,11.46,""
" ", , , , ,""
"Grand Total",623.60,446.16,494.63,128.97,""
